age,gender,weight_kg,height_cm,activity_level,goal,sleep_hours,phone_before_sleep,meals_per_day,junk_food_per_week,water_l_per_day,fruit_veg_servings,stress_score,daily_calorie_need,sleep_quality,diet_score,diet_quality,height_m,bmi,bmr,activity_mult,goal_num,phone_sleep_ratio,diet_score_v2,gender_num,sleep_label,diet_label
24,male,52.1,164.5,light,maintain,7.1,44.58757153477752,3,1,2.36,2,3.7305694831147176,2038,avg,2,avg,1.645,19.253332840605687,1434.125,1.375,0,6.279938768287148,2,1,0,0
37,female,56.5,166.5,active,lose,6.9,0.0,2,1,1.2,2,4.321026722426009,1834,avg,1,avg,1.665,20.380741101461822,1259.625,1.725,-1,0.0,1,0,0,0
46,male,74.7,160.7,sedentary,lose,6.1,13.412027505611215,5,2,2.75,1,2.086742041025493,1405,avg,0,poor,1.607,28.926031065860354,1526.375,1.2,-1,2.198692673265335,0,1,0,2
32,female,55.9,162.0,moderate,maintain,5.4,12.762844500019131,5,2,2.46,0,3.398307036885291,1943,poor,-1,poor,1.62,21.300106691053188,1250.5,1.55,0,2.363489284542564,-1,0,2,2
28,female,83.4,173.9,very_active,maintain,7.2,11.702899532654603,2,0,0.74,4,3.4568530536874453,3051,avg,4,good,1.739,27.578261584109892,1619.875,1.9,0,1.6254024871183494,4,0,0,1
25,male,69.1,171.2,moderate,gain,6.4,54.16502953741163,4,2,2.81,3,3.241100850542388,2766,avg,2,avg,1.712,23.57602192331208,1641.0,1.55,1,8.463284542832357,2,1,0,0
46,female,71.0,174.4,sedentary,maintain,7.7,0.0,4,2,2.98,5,3.335404623056661,1571,good,4,good,1.744,23.34346856325225,1409.0,1.2,0,0.0,4,0,1,1
38,female,66.7,171.9,moderate,lose,7.1,65.61133315249275,4,2,1.64,2,1.997784183670708,1855,avg,1,avg,1.719,22.572209920875434,1390.375,1.55,-1,9.241031536825522,1,0,0,0
24,male,79.3,176.3,sedentary,maintain,7.0,54.9633718055653,4,1,2.37,5,4.331221348603806,2246,avg,5,good,1.7630000000000001,25.513413202435252,1779.875,1.2,0,7.851909136236595,5,1,0,1
43,male,79.4,177.9,sedentary,lose,8.3,34.64386344844233,3,1,3.42,4,2.003504553254861,1594,good,4,good,1.7790000000000001,25.08814818817122,1695.875,1.2,-1,4.173958948732937,4,1,1,1
36,male,74.0,154.3,light,lose,5.2,38.729976516782045,3,0,1.46,0,2.458126603145475,1800,poor,0,poor,1.5430000000000001,31.08134955219755,1529.375,1.375,-1,7.448070974752128,0,1,2,2
40,male,76.8,162.3,light,maintain,9.3,31.87526460747268,2,3,3.05,1,2.0532345073568816,2070,good,-1,poor,1.6230000000000002,29.155747497559908,1587.375,1.375,0,3.4274474387123917,-1,1,1,2
28,female,67.5,167.9,moderate,gain,4.2,33.96456633118053,5,3,2.94,3,3.922268162646613,2393,poor,1,avg,1.679,23.944312977356482,1423.375,1.55,1,8.086799581995463,1,0,2,0
28,male,76.5,169.8,light,gain,8.9,58.1585860040061,4,4,1.3,0,3.083244798940716,2524,good,-4,poor,1.6980000000000002,26.53298205746107,1691.25,1.375,1,6.534671850486994,-4,1,1,2
41,male,65.9,164.0,moderate,maintain,7.3,24.40740394740573,5,1,0.93,2,3.3490636987355007,2341,avg,1,avg,1.64,24.501784651992867,1484.0,1.55,0,3.3434795347844104,1,1,0,0
38,male,70.0,178.2,sedentary,maintain,6.3,45.00848193179807,5,4,1.6,1,1.4152207156477388,1812,avg,-2,poor,1.7819999999999998,22.043606031634468,1628.75,1.2,0,7.1442023472374165,-2,1,0,2
21,male,66.7,187.8,sedentary,gain,5.1,8.218701695316785,3,2,1.3,4,3.834346881150872,2329,poor,2,avg,1.8780000000000001,18.91187802037152,1740.75,1.2,1,1.6115098203543068,2,1,2,0
25,male,64.5,171.7,sedentary,maintain,6.2,43.31343650483923,5,0,1.5,5,3.2374686327958,1955,avg,5,good,1.7169999999999999,21.87857964939322,1598.125,1.2,0,6.986037019161647,5,1,0,1
41,female,61.7,170.8,sedentary,maintain,6.8,23.181561671297533,5,2,2.59,1,5.0,1449,avg,0,poor,1.7080000000000002,21.149954203664798,1318.5,1.2,0,3.4090526856242422,0,0,0,2
20,male,75.6,177.6,light,maintain,7.3,40.69963442909852,4,2,2.47,2,2.2995880366926444,2464,avg,1,avg,1.776,23.968224981738494,1771.0,1.375,0,5.575291623809164,1,1,0,0
39,female,85.7,153.2,moderate,lose,8.9,8.385732110783174,2,2,2.5,3,2.6386181377482063,1862,good,2,avg,1.5319999999999998,36.514326227597174,1458.5,1.55,-1,0.942216985232156,2,0,1,0
38,male,84.1,170.3,very_active,maintain,7.1,41.23114928145051,3,1,1.78,4,5.0,3148,avg,4,good,1.703,28.99791015061328,1720.375,1.9,0,5.807203306232001,4,1,0,1
19,male,54.9,178.8,light,gain,7.4,28.83073307677434,4,0,3.96,0,2.805664166498344,2408,avg,1,avg,1.788,17.172649880636005,1576.5,1.375,1,3.8960444838824126,1,1,0,0
41,male,85.5,164.2,sedentary,maintain,7.5,69.12134542210052,2,1,3.17,5,2.4327013236469397,1956,avg,5,good,1.642,31.71172080036675,1681.25,1.2,0,9.216178160789648,5,1,0,1
29,male,66.2,159.0,sedentary,lose,6.6,36.47376027996658,4,1,2.2,2,4.081253230366516,1436,avg,2,avg,1.59,26.185673035085635,1515.75,1.2,-1,5.526326477824258,2,1,0,0
47,male,77.2,168.3,active,maintain,6.8,42.3308098692924,2,1,2.48,2,3.459716357593789,2748,avg,2,avg,1.683,27.255180867427903,1593.875,1.725,0,6.2251181829667965,2,1,0,0
23,male,59.1,169.5,moderate,maintain,6.9,18.961981239061597,4,3,2.2,4,2.2831868286792742,2246,avg,2,avg,1.695,20.57065288328504,1540.375,1.55,0,2.748112824775184,2,1,0,0
19,male,71.7,161.8,moderate,gain,7.8,37.802276807001,4,2,2.19,1,2.600668776893766,2804,good,0,poor,1.618,27.388113635078785,1638.25,1.55,1,4.8464451231481895,0,1,1,2
49,male,73.8,188.9,sedentary,lose,5.8,41.85023083461432,2,1,2.63,3,2.7990352277149184,1587,poor,3,good,1.889,20.681995818201333,1678.625,1.2,-1,7.215555796389401,3,1,2,1
45,female,52.2,165.7,sedentary,maintain,6.3,21.143982442233277,4,1,1.98,1,3.9833176547231592,1296,avg,1,avg,1.6569999999999998,19.011898461893715,1171.625,1.2,0,3.3561871565152575,1,0,0,0
38,male,77.3,159.6,sedentary,maintain,7.5,19.19412748627126,2,1,1.61,4,1.5272148665883056,1822,avg,4,good,1.5959999999999999,30.346857117731673,1585.5,1.2,0,2.5592166569406136,4,1,0,1
18,female,86.2,169.2,active,gain,5.6,9.834439362888762,5,1,2.23,4,3.0434790671198795,3063,poor,4,good,1.692,30.109708320059916,1668.5,1.725,1,1.7561495726319982,4,0,2,1
29,male,67.9,178.2,sedentary,maintain,7.1,28.098708976750046,5,1,1.7,2,3.017112933237644,1944,avg,2,avg,1.7819999999999998,21.382297850685436,1652.75,1.2,0,3.95756408720929,2,1,0,0
43,female,86.3,170.2,moderate,gain,6.3,13.671024948003328,2,2,1.81,3,2.4391368891034824,2671,avg,2,avg,1.702,29.79145292536188,1550.75,1.55,1,2.17000361555551,2,0,0,0
39,male,67.7,174.4,light,lose,7.7,37.30642161470457,4,3,1.01,2,2.2756970608504035,1768,good,-1,poor,1.744,22.25849044693208,1577.0,1.375,-1,4.844989190872127,-1,1,1,2
46,male,80.2,162.2,light,lose,8.8,10.239871201237644,5,3,2.3,2,1.0,1766,good,0,poor,1.6219999999999999,30.484050227984213,1590.75,1.375,-1,1.163621595183642,0,1,1,2
29,male,43.4,183.4,sedentary,maintain,6.3,26.937703297279203,2,2,2.23,2,2.4882886192528333,1709,avg,1,avg,1.834,12.903010980046115,1440.25,1.2,0,4.275825241500629,1,1,0,0
42,female,99.0,175.1,moderate,maintain,8.0,6.356207424645657,3,3,2.18,5,2.4991261546023744,2667,good,3,good,1.751,32.28961764852654,1713.375,1.55,0,0.7945258287649786,3,0,1,1
34,female,87.9,179.4,sedentary,maintain,7.3,58.609810194386114,5,2,1.77,0,1.483796788720532,1968,avg,-1,poor,1.794,27.31140218416647,1669.25,1.2,0,8.028740022691245,-1,0,0,2
44,female,66.6,173.3,very_active,lose,6.5,30.62125130152589,2,0,2.24,5,2.763543399005054,2296,avg,6,good,1.733,22.175688053996797,1368.125,1.9,-1,4.7109610139330576,6,0,0,1
44,female,46.3,177.4,sedentary,maintain,7.0,30.3980886758932,2,1,2.19,2,2.674148349619257,1524,avg,2,avg,1.774,14.712069235061369,1190.75,1.2,0,4.342583476187103,2,0,0,0
48,male,73.5,162.1,sedentary,maintain,8.7,44.88699868527339,5,3,1.61,3,2.7072330892458547,1945,good,1,avg,1.621,27.971857647220453,1513.125,1.2,0,5.159424543201018,1,1,1,0
27,male,52.7,165.6,light,maintain,6.8,74.38112348325636,4,1,2.83,1,4.867572950076717,2047,avg,1,avg,1.656,19.217192933324,1432.0,1.375,0,10.938398903655509,1,1,0,0
49,male,75.3,182.1,active,lose,8.7,32.0273905097755,3,4,0.96,4,1.630191139478429,2357,good,0,poor,1.821,22.707801260599613,1651.125,1.725,-1,3.6813088308582387,0,1,1,2
45,female,74.9,184.0,light,gain,6.8,0.0,2,1,2.68,5,3.769471167919544,2330,avg,5,good,1.84,22.123109640831757,1513.0,1.375,1,0.0,5,0,0,1
45,male,58.7,159.7,light,maintain,5.2,59.5483797711377,4,0,2.25,2,2.8396186127879828,1986,poor,3,good,1.597,23.015916270684432,1365.125,1.375,0,11.451609292217,3,1,2,1
33,female,83.5,172.2,sedentary,lose,6.8,0.0,4,1,2.5,4,1.840435118988304,1498,avg,4,good,1.722,28.159191497340558,1585.25,1.2,-1,0.0,4,0,0,1
32,female,79.7,166.1,sedentary,maintain,5.1,17.58900944703265,2,1,1.77,2,4.599188566579756,1890,poor,2,avg,1.661,28.88810516865108,1514.125,1.2,0,3.4488247055309698,2,0,2,0
47,female,81.7,163.7,moderate,maintain,6.6,59.812990013890186,3,0,1.66,0,1.5602378708427862,2188,avg,1,avg,1.6369999999999998,30.487702484803734,1444.125,1.55,0,9.062572871411714,1,0,0,0
